article_id,slug,date,time,is_updated,headline,excerpt,article_url,scraped_at
r~bb1d484e8b0511eab1110cc47ab5f122,kouka-z-toho-ucelovost-kritizuje-baxa-posileni-pravomoci-mz,2020-05-01,08:01:00,False,"Kouká z toho účelovost, kritizuje Baxa chystané posílení pravomocí ministra Vojtěcha","Bývalému předsedovi Nejvyššího správního soudu se nelíbí, že by o omezeních kvůli pandemii měl rozhodovat pouze ministr zdravotnictví.",/domaci//domaci/kouka-z-toho-ucelovost-kritizuje-baxa-posileni-pravomoci-mz/r~bb1d484e8b0511eab1110cc47ab5f122/,03-05-2020 19:47:53
r~001034d8860c11eaa25cac1f6b220ee8,on-line-koronavirus,2020-04-30,23:03:00,True,Vláda schválila nové výjimky z nošení roušek i mírnější pravidla pro pendlery,Události kolem pandemie koronaviru v Česku i ve světě sledujeme v on-line reportáži.,/domaci//domaci/on-line-koronavirus/r~001034d8860c11eaa25cac1f6b220ee8/,03-05-2020 19:47:53
r~490a15268b0911ea8972ac1f6b220ee8,celou-vec-jsem-otevrene-vysvetlil-rekl-mynar-podle-nej-z-hra,2020-04-30,20:01:00,True,"Z Hradu na Kuberu tlak nebyl, celou věc jsem otevřeně vysvětlil, řekl Mynář","Kancléř prezidenta Vratislav Mynář odmítl, že by zamlčoval informace v souvislosti s tzv. dopisem čínské ambasády pro bývalého předsedu Senátu Kuberu.",/domaci//domaci/celou-vec-jsem-otevrene-vysvetlil-rekl-mynar-podle-nej-z-hra/r~490a15268b0911ea8972ac1f6b220ee8/,03-05-2020 19:47:53
r~70418c3c8aff11ea842f0cc47ab5f122,vlada-schvalila-navrh-na-zruseni-dane-z-nabyti-nemovitych-ve,2020-04-30,19:54:00,True,Vláda schválila návrh na zrušení daně z nabytí nemovitých věcí,Zároveň také prodloužila z pěti na deset let tzv. časový test pro příjmy z prodeje nemovitých věcí.,/domaci//ekonomika/vlada-schvalila-navrh-na-zruseni-dane-z-nabyti-nemovitych-ve/r~70418c3c8aff11ea842f0cc47ab5f122/,03-05-2020 19:47:54
r~73da20908b0711eaa6f6ac1f6b220ee8,pametni-deska-pripominajici-vlasovce-byla-v-reporyjich-odhal,2020-04-30,19:43:00,True,V Řeporyjích i přes ruské protesty instalovali pamětní desku připomínající vlasovce,"Plastika zhruba velikosti dlaně zobrazuje sovětský tank, na kterém leží německá vojenská helma.",/domaci//domaci/pametni-deska-pripominajici-vlasovce-byla-v-reporyjich-odhal/r~73da20908b0711eaa6f6ac1f6b220ee8/,03-05-2020 19:47:54
r~9d3006868af211eaa7deac1f6b220ee8,prezident-zeman-telefonicky-mluvil-s-cinskym-protejskem-si-t,2020-04-30,17:59:00,True,"Prezident Zeman telefonicky mluvil s čínským protějškem, na podzim Čínu i navštíví","Český prezident potvrdil účast na summitu 17+1, jehož se účastní středo- a východoevropské země a Čína. Konat by se měl pravděpodobně letos na podzim.",/domaci//domaci/prezident-zeman-telefonicky-mluvil-s-cinskym-protejskem-si-t/r~9d3006868af211eaa7deac1f6b220ee8/,03-05-2020 19:47:54
r~167aef8a8af611eab115ac1f6b220ee8,rousky-nebudou-muset-nosit-deti-ve-skolkach-umelci-moderator,2020-04-30,17:46:00,True,"Roušky nebudou muset nosit děti ve školkách, umělci ani moderátoři v prázdném studiu","Už dříve dostali výjimku řidiči veřejné dopravy v uzavřených kabinách, členové domácnosti jedoucí v jednom autě, autisté či děti do dvou let.",/domaci//domaci/rousky-nebudou-muset-nosit-deti-ve-skolkach-umelci-moderator/r~167aef8a8af611eab115ac1f6b220ee8/,03-05-2020 19:47:54
r~adb30436894411ea80e60cc47ab5f122,paleni-carodejnic-letos-musi-probihat-opatrne-je-sucho,2020-04-30,17:38:00,True,"Pálení čarodějnic zakázané není, ale musí kvůli suchu probíhat opatrně, varují hasiči","Pálení by lidé měli hasičům hlásit dopředu, organizátoři z řad firem a živnostníků to mají nařízené zákonem.",/domaci//domaci/paleni-carodejnic-letos-musi-probihat-opatrne-je-sucho/r~adb30436894411ea80e60cc47ab5f122/,03-05-2020 19:47:54
r~0660ac588ac811eab115ac1f6b220ee8,duka-dovolani-inscenace,2020-04-30,16:37:00,False,"Krista mohu hájit, bylo to horší než karikatury Mohameda, píše Duka Nejvyššímu soudu","Deník Aktuálně.cz získal dovolání pražského arcibiskupa Dominika Duky, které podal ve sporu o kontroverzní divadelní hry.",/domaci//domaci/duka-dovolani-inscenace/r~0660ac588ac811eab115ac1f6b220ee8/,03-05-2020 19:47:54
r~78c8296c8aee11eaaabd0cc47ab5f122,babis-by-mel-odstoupit-nebo-prestat-brat-dotace,2020-04-30,16:34:00,True,"Babiš by měl odstoupit, nebo přestat brát dotace, doporučuje výbor europarlamentu","Rovněž vyzývá Evropskou komisi, aby neumožnila vyplácení jakýchkoli dotací Agrofertu, dokud nebude otázka možného Babišova střetu zájmů vyřešena.",/domaci//domaci/babis-by-mel-odstoupit-nebo-prestat-brat-dotace/r~78c8296c8aee11eaaabd0cc47ab5f122/,03-05-2020 19:47:54
mezi-muzeem-a-mustkem-uz-si-lide-zavolaji,praha,2020-04-30,15:27:00,False,"Mezi Muzeem a Můstkem už si lidé zavolají, pokrytí celého metra je ale v nedohlednu",Podnik původně sliboval signál v metru v celém širším centru už s počátkem roku 2020. Práce ale nabírají další zpoždění.,/domaci//regiony/praha/mezi-muzeem-a-mustkem-uz-si-lide-zavolaji/r~b74ca3b08ae011eaa25cac1f6b220ee8/,03-05-2020 19:47:54
r~01775a368aad11eaa7deac1f6b220ee8,okresni-soud-se-musi-zabyvat-zalobou-kalouska-na-babise,2020-04-30,15:17:00,True,Nejvyšší soud nařídil projednat žalobu na Babiše za jeho útoky proti Kalouskovi,"Kalousek žaluje Babiše kvůli jeho výrokům z roku 2018, že poslanec TOP 09 ""zabil lidi přes padáky"".",/domaci//domaci/okresni-soud-se-musi-zabyvat-zalobou-kalouska-na-babise/r~01775a368aad11eaa7deac1f6b220ee8/,03-05-2020 19:47:54
r~e762097eef1211e49e4e002590604f2e,bitva-o-ostravu,2020-04-30,15:13:00,True,"Tankisto, hoříš! V pekle u Ostravy padly desetitisíce vojáků",Před 70 lety byla osvobozena Ostrava. Skončila tak největší a nejkrvavější bitva 2. světové války na území dnešního Česka.,/domaci//domaci/bitva-o-ostravu/r~e762097eef1211e49e4e002590604f2e/,03-05-2020 19:47:54
r~455dd7f08ac811eab115ac1f6b220ee8,mynar-zamlcuje-informace-o-dopisu-kuberovi-kritizuje-vybor,2020-04-30,14:48:00,True,"Mynář zamlčuje informace o dopisu Kuberovi, kritizuje výbor. Kancléř odmítl přijít",Podle výboru Zemanův kancléř také znevažuje okolnosti tlaku na Jaroslava Kuberu. Mynář odmítl přijít věc poslancům vysvětlit.,/domaci//domaci/mynar-zamlcuje-informace-o-dopisu-kuberovi-kritizuje-vybor/r~455dd7f08ac811eab115ac1f6b220ee8/,03-05-2020 19:47:54
r~f9c950a28ac311eaa25cac1f6b220ee8,policie-vypatrala-posledniho-clena-berdychova-gangu-mel-na-s,2020-04-30,12:39:00,True,"Policie dopadla v USA posledního člena Berdychova gangu, unikal 16 let","Muž se skrýval v USA v okolí Seattlu, kde ho policisté v úterý zadrželi. Nyní začalo řízení k jeho vydání do Česka.",/domaci//domaci/policie-vypatrala-posledniho-clena-berdychova-gangu-mel-na-s/r~f9c950a28ac311eaa25cac1f6b220ee8/,03-05-2020 19:47:54
r~88d206ce8ac211eab1110cc47ab5f122,ochranne-obleky-z-ciny-jsou-prilis-male,2020-04-30,11:18:00,False,"Ochranné obleky z Číny jsou příliš malé, zdravotníci se do nich mnohdy nevejdou","Některé čínské firmy chtěly menší velikostí ušetřit materiál, jiné měly problém s číslováním.",/domaci//domaci/ochranne-obleky-z-ciny-jsou-prilis-male/r~88d206ce8ac211eab1110cc47ab5f122/,03-05-2020 19:47:54
r~7db9bf7a8ab811ea8972ac1f6b220ee8,vojtech-testovani-se-vice-zameri-na-ohniska-nakazy-bude-efek,2020-04-30,10:47:00,True,"Testování bude efektivnější, když se zaměří hlavně na ohniska nákazy, plánuje Vojtěch","Rizikovými regiony, kde se nyní nákaza nejvíce šíří, je nyní například Domažlicko a Chebsko.",/domaci//domaci/vojtech-testovani-se-vice-zameri-na-ohniska-nakazy-bude-efek/r~7db9bf7a8ab811ea8972ac1f6b220ee8/,03-05-2020 19:47:54
r~68b67d8e8a3111eab408ac1f6b220ee8,rousky-z-ciny-byly-znecistene-kraj-je-vrati-vnitru,2020-04-30,09:49:00,True,"""Vypadaly jako 200 let staré."" Respirátory z Číny byly znečištěné, kraj je vrátí",Respirátory dodalo ministerstvo vnitra a byly v originálním balení. Kraj po prověření žádné další závady nenašel.,/domaci//domaci/rousky-z-ciny-byly-znecistene-kraj-je-vrati-vnitru/r~68b67d8e8a3111eab408ac1f6b220ee8/,03-05-2020 19:47:54
r~923234c88aa911eab1110cc47ab5f122,zemrel-spoluzakladatel-detskeho-kardiocentra-milan-samanek,2020-04-30,08:20:00,False,Zemřel spoluzakladatel dětského kardiologického centra Milan Šamánek. Bylo mu 88 let,Pediatr Milan Šamánek v roce 2010 převzal od prezidenta medaili Za zásluhy prvního stupně.,/domaci//domaci/zemrel-spoluzakladatel-detskeho-kardiocentra-milan-samanek/r~923234c88aa911eab1110cc47ab5f122/,03-05-2020 19:47:54
r~733c0ba08a1f11eab1110cc47ab5f122,pirat-kvuli-konevovi-do-petrohradu-nepojede-zadrzeni-hrozi-i,2020-04-30,05:30:00,False,"Zastupitelé Prahy 6 zvažují, kam cestovat, aby je kvůli Koněvovi nevydali do Ruska","Ministerstvo zahraničí připouští, že by politici mohli být zadrženi i v jiné zemi než v Rusku. Ve státech EU to ale považují za nepravděpodobné.",/domaci//domaci/pirat-kvuli-konevovi-do-petrohradu-nepojede-zadrzeni-hrozi-i/r~733c0ba08a1f11eab1110cc47ab5f122/,03-05-2020 19:47:54
r~ffe98ab28a2b11ea9d470cc47ab5f122,socha-konev-vybor-usneseni-rusko-politika,2020-04-29,20:09:00,False,"Výhrůžky jsou nepřípustné, poškozujete vzájemné vztahy, chystají poslanci vzkaz Rusům","Aktuálně.cz má k dispozici usnesení sněmovního výboru pro zahraniční věci, jenž je připravený vymezit se vůči Rusku kvůli sporu o Koněvovu sochu.",/domaci//domaci/socha-konev-vybor-usneseni-rusko-politika/r~ffe98ab28a2b11ea9d470cc47ab5f122/,03-05-2020 19:47:54
r~d18c0de68a0f11ea80e60cc47ab5f122,minar-se-vratil-na-letnou-s-transparenty-proti-babisove-vlad,2020-04-29,19:10:00,True,"Minář se vrátil na Letnou: Přišel jsem se projít, abych rozdýchal počínání vlády","Nejdůležitější je otázka, jestli jsme se dobře připravili na to, co přijde po uvolnění nynějších opatření, řekl Aktuálně.cz Minář.",/domaci//domaci/minar-se-vratil-na-letnou-s-transparenty-proti-babisove-vlad/r~d18c0de68a0f11ea80e60cc47ab5f122/,03-05-2020 19:47:56
r~10fdcbb48a2d11ea9c800cc47ab5f122,cinske-respiratory-netesni-musi-se-k-obliceji-prilepit,2020-04-29,17:41:00,False,"Respirátory dovezené z Číny netěsní, musí se k obličeji přilepit, zjistili vědci","Důvodem, proč čínské masky nesedí na obličeji Evropanů, je podle vědců rozdílná anatomie obličejů.",/domaci//domaci/cinske-respiratory-netesni-musi-se-k-obliceji-prilepit/r~10fdcbb48a2d11ea9c800cc47ab5f122/,03-05-2020 19:47:56
r~db6391b28a2911eaaabd0cc47ab5f122,jurecka-podal-trestni-oznameni-kvuli-nakupum-mz,2020-04-29,17:13:00,False,Šéf lidovců podal trestní oznámení na Vojtěchovo ministerstvo kvůli nákupu pomůcek,"Marian Jurečka se domnívá, že resort zdravotnictví nesplnil zákonnou povinnost plnit úkoly nejhospodárnějším způsobem.",/domaci//domaci/jurecka-podal-trestni-oznameni-kvuli-nakupum-mz/r~db6391b28a2911eaaabd0cc47ab5f122/,03-05-2020 19:47:56
r~febb7a6c8a2411ea9d470cc47ab5f122,ministerstvo-by-po-posileni-pravomoci-mohlo-omezovat-obchody,2020-04-29,17:02:00,False,"Ministerstvo by po posílení pravomocí mohlo samo omezovat obchody, veřejné akce i MHD",Chystaný návrh novely zákona o ochraně veřejného zdraví dává ministerstvu zdravotnictví nové pravomoci. Opozice je proti.,/domaci//domaci/ministerstvo-by-po-posileni-pravomoci-mohlo-omezovat-obchody/r~febb7a6c8a2411ea9d470cc47ab5f122/,03-05-2020 19:47:56
r~14f4fd728a1511eab408ac1f6b220ee8,odskodne-dva-a-pul-tisice-je-vysmech-zvazuji-soud-rika-bratr,2020-04-29,16:47:00,False,"Odškodné 2500 korun je výsměch, zvažuji soud, říká bratr Pavla Wonky","Rodině disidenta, který zemřel v roce 1988 ve vazbě, má dostat pouze ušlou mzdu za tři týdny nezákonného věznění.",/domaci//domaci/odskodne-dva-a-pul-tisice-je-vysmech-zvazuji-soud-rika-bratr/r~14f4fd728a1511eab408ac1f6b220ee8/,03-05-2020 19:47:56
r~a212bf9e8a1c11eaaabd0cc47ab5f122,rizeni-kvuli-prestupkum-za-opatreni-se-kvuli-rozhodnuti-soud,2020-04-29,16:01:00,True,"Přestupky proti nezákonně vydaným opatřením zřejmě zůstanou bez trestu, řekl Hamáček",Delikty spáchané v době od 23. března do 27. dubna nebude podle právníků ministerstva vnitra možné trestat.,/domaci//domaci/rizeni-kvuli-prestupkum-za-opatreni-se-kvuli-rozhodnuti-soud/r~a212bf9e8a1c11eaaabd0cc47ab5f122/,03-05-2020 19:47:56
r~7b2cf6048a0511eaa6f6ac1f6b220ee8,janousek-ustavni-soud-konec,2020-04-29,15:05:00,False,"Bolestivý obrat pro Romana Janouška, po zásahu Ústavního soudu ztrácí nový proces","Deník Aktuálně.cz mluvil s experty na ústavní právo. Podle nich má soud volnou ruku, aby žádost lobbisty Romana Janouška o nový proces zamítl.",/domaci//domaci/janousek-ustavni-soud-konec/r~7b2cf6048a0511eaa6f6ac1f6b220ee8/,03-05-2020 19:47:56
r~8b692bd089ee11eaa6f6ac1f6b220ee8,zemedelske-sucho-bylo-v-dubnu-prakticky-v-celem-cesku-situac,2020-04-29,14:33:00,True,Sucho bylo v dubnu v celém Česku. Situace je podle Brabce katastrofická,Méně srážek a vyšší teploty trápí Česko už několik let po sobě. Podle odborníků je vlna sucha nejhorší za 500 let.,/domaci//domaci/zemedelske-sucho-bylo-v-dubnu-prakticky-v-celem-cesku-situac/r~8b692bd089ee11eaa6f6ac1f6b220ee8/,03-05-2020 19:47:56
r~ef7ee22e893d11ea9d470cc47ab5f122,breivik-cirnfus-obzaloba,2020-04-29,12:16:00,False,"Bylo to krásný, ale bylo toho málo, velebil na Facebooku Breivikův čin obžalovaný muž","Osm slov napsaných na sociální síti Facebook podle zjištění Aktuálně.cz stačilo, aby osmapadesátiletý muž skončil před soudem kvůli podpoře terorismu.",/domaci//domaci/breivik-cirnfus-obzaloba/r~ef7ee22e893d11ea9d470cc47ab5f122/,03-05-2020 19:47:56
r~315534e08a0211ea9c800cc47ab5f122,zakaz-zvysovani-najmu-bez-omezeni-casu-muze-byt-podle-senato,2020-04-29,12:07:00,False,"Zákaz zvyšování nájmů bez časového omezení může být protiústavní, tvrdí senátoři ODS","Senátor Zdeněk Nytra (ODS) před středečním zasedáním horní komory uvedl, že pro návrh na zrušení opatření zatím sebral 24 podpisů.",/domaci//domaci/zakaz-zvysovani-najmu-bez-omezeni-casu-muze-byt-podle-senato/r~315534e08a0211ea9c800cc47ab5f122/,03-05-2020 19:47:56
r~da24385c89fb11ea9c800cc47ab5f122,nukib-varovani-pred-kyberutoky-nemocnice-coviper,2020-04-29,11:53:00,False,"Naše varování před útoky zabralo a předešlo se větším následkům, tvrdí kyberúřad",I tak úřad eviduje za posledního čtvrt roku 23 úspěšných kyberútoků. Varování zůstává stále v platnosti.,/domaci//domaci/nukib-varovani-pred-kyberutoky-nemocnice-coviper/r~da24385c89fb11ea9c800cc47ab5f122/,03-05-2020 19:47:56
r~b7db743c89f011eab408ac1f6b220ee8,ustavni-soud-se-vymezil-proti-argumentum-z-nalezu-v-janousko,2020-04-29,09:57:00,False,"Ústavní soud se postavil proti kolegům, kteří dali Janouškovi šanci na nový proces","Aktuální nález Ústavní soudu zamezí Romanu Janouškovu v povolení nového procesu, přestože předtím uspěl s ústavní stížností.",/domaci//domaci/ustavni-soud-se-vymezil-proti-argumentum-z-nalezu-v-janousko/r~b7db743c89f011eab408ac1f6b220ee8/,03-05-2020 19:47:56
r~5f1c8938898911ea8972ac1f6b220ee8,konec-sporu-o-dzihab-ve-skole-divka-zalobu-stahla-kvuli-nena,2020-04-28,21:36:00,False,Konec sporu o hidžáb ve škole. Dívka žalobu stáhla kvůli nenávistným útokům,Škola podle ředitelky Ivanky Kohoutové ale se zpětvzetím žaloby nesouhlasí.,/domaci//domaci/konec-sporu-o-dzihab-ve-skole-divka-zalobu-stahla-kvuli-nena/r~5f1c8938898911ea8972ac1f6b220ee8/,03-05-2020 19:47:56
r~6b19fd3a893211eaa7deac1f6b220ee8,pozadam-o-prosetreni-nakupu-slibil-babis,2020-04-28,20:36:00,True,"Požádám o prošetření nákupů, slíbil Babiš. Nouzový stav je prodloužený do 17. května","Na naprosto věcné dotazy máte jedinou mantru: Mlčte a táhněte za jeden provaz. Tak za takový provaz s vámi táhnout nebudeme, sdělil Miroslav Kalousek.",/domaci//domaci/pozadam-o-prosetreni-nakupu-slibil-babis/r~6b19fd3a893211eaa7deac1f6b220ee8/,03-05-2020 19:47:56
r~e2cb0758896811eaaabd0cc47ab5f122,vlada-by-mela-odmitnout-ruske-vyhrozovani-okolo-kauzy-koneva,2020-04-28,20:16:00,True,Ministerstvo zahraničí se ohradilo proti ruské nótě stěžující si na článek Respektu,"Týdeník Respekt napsal, že do Prahy přicestoval pracovník ruských tajných služeb údajně vybavený jedem ricin. Moskva to odmítá.",/domaci//domaci/vlada-by-mela-odmitnout-ruske-vyhrozovani-okolo-kauzy-koneva/r~e2cb0758896811eaaabd0cc47ab5f122/,03-05-2020 19:47:56
r~ecac9990896c11eaa6f6ac1f6b220ee8,rodina-disidenta-wonka-dostane-odskodne-2500-korun-neprimere,2020-04-28,17:57:00,False,"Rodina disidenta Wonky dostane odškodné 2500 korun. Nepřiměřeně nízké, tvrdí advokát",Pavel Wonka je označován za posledního politického vězně komunistického režimu v Československu. Zemřel za nejasných okolností ve vazbě v roce 1988.,/domaci//domaci/rodina-disidenta-wonka-dostane-odskodne-2500-korun-neprimere/r~ecac9990896c11eaa6f6ac1f6b220ee8/,03-05-2020 19:47:56
r~d27c6788896411ea8972ac1f6b220ee8,covid-19-se-da-uznat-za-nemoc-z-povolani-uvadeji-odbory,2020-04-28,17:31:00,False,"Covid-19 se dá uznat za nemoc z povolání, uvádějí odbory. Lidé mohou získat odškodné","Pracovník by musel být v zaměstnání v ""úzkém profesním kontaktu"" s pacientem či s nakaženými sociálními pracovníky, policisty či hasiči.",/domaci//domaci/covid-19-se-da-uznat-za-nemoc-z-povolani-uvadeji-odbory/r~d27c6788896411ea8972ac1f6b220ee8/,03-05-2020 19:47:57
r~c532dde2895411ea842f0cc47ab5f122,lide-v-boji-s-koronavirem-nadale-nejlepe-hodnoti-prymulu,2020-04-28,16:10:00,False,Lidé v boji s koronavirem nadále nejlépe hodnotí Prymulu. Nejhůř dopadla Schillerová,"Prymula získal průměrnou známku 2,7, nejhorší Schillerová 4,17.",/domaci//domaci/lide-v-boji-s-koronavirem-nadale-nejlepe-hodnoti-prymulu/r~c532dde2895411ea842f0cc47ab5f122/,03-05-2020 19:47:57
r~10db05d4894c11eaaabd0cc47ab5f122,predsedou-ceske-biskupske-konference-je-po-dukovi-graubner,2020-04-28,14:38:00,False,"Předsedou České biskupské konference je Jan Graubner, vystřídal kardinála Duku","Graubner tuto funkci vykonával už v letech 2000 až 2010, další desetiletí byl místopředsedou.",/domaci//domaci/predsedou-ceske-biskupske-konference-je-po-dukovi-graubner/r~10db05d4894c11eaaabd0cc47ab5f122/,03-05-2020 19:47:57
r~357cf93c893e11ea95caac1f6b220ee8,urad-v-trinci-povolil-stavbu-repliky-kosteliku-ktery-pred-tr,2020-04-28,13:45:00,False,"Replika kostela v Gutech, který zničili žháři, se začne stavět už v květnu",Náklady na stavbu repliky dosáhnou 27 milionů korun.,/domaci//domaci/urad-v-trinci-povolil-stavbu-repliky-kosteliku-ktery-pred-tr/r~357cf93c893e11ea95caac1f6b220ee8/,03-05-2020 19:47:57
r~b0558874892811eaa25cac1f6b220ee8,ustavni-soud-odmitl-prvni-stiznosti-proti-koronavirovym-opat,2020-04-28,12:55:00,True,"Vláda měla informovat lépe, řekl Ústavní soud. První dvě stížnosti ale zamítl","V souvislosti s opatřeními proti koronaviru obdržel soud celkem 11 podnětů - dva odmítl, jeden vzal pisatel zpět, zbývá rozhodnout o osmi.",/domaci//domaci/ustavni-soud-odmitl-prvni-stiznosti-proti-koronavirovym-opat/r~b0558874892811eaa25cac1f6b220ee8/,03-05-2020 19:47:57
r~396d8f9c893f11ea80e60cc47ab5f122,oddluzit-jen-statni-nemocnice-je-nespravedlive-stezuji-si-kr,2020-04-28,12:52:00,False,"Oddlužit jen státní nemocnice je nespravedlivé, stěžují si kraje",Oddlužením státních nemocnic se zabývali hejtmani i na videokonferenci s ministrem vnitra Janem Hamáčkem a členy Ústředního krizového štábu.,/domaci//domaci/oddluzit-jen-statni-nemocnice-je-nespravedlive-stezuji-si-kr/r~396d8f9c893f11ea80e60cc47ab5f122/,03-05-2020 19:47:57
r~f15d5e22893311ea9d470cc47ab5f122,zemrel-filozof-ladislav-hejdanek-signatar-a-mluvci-charty-77,2020-04-28,12:25:00,True,"Zemřel filozof Ladislav Hejdánek, signatář a mluvčí Charty 77. Bylo mu 92 let","Za normalizace nesměl veřejně působit, v 80. let pořádal bytové semináře, kam jezdili filozofové ze zahraničí.",/domaci//domaci/zemrel-filozof-ladislav-hejdanek-signatar-a-mluvci-charty-77/r~f15d5e22893311ea9d470cc47ab5f122/,03-05-2020 19:47:57
